Token,Short Name,Series,Company Name,Tick Size,Lot Size,Scrip Code,Scrip ID,Scrip Name,Issue Price,Face Value,ISIN,52 Weeks High,52 Weeks Low,Life Time High,Life Time Low,Exchange Code
532504,NAVFLU,DR,NAVIN FLUORINE INTERNATIONAL L,3750,1,532504,NAVINFLUOR,NAVIN FLUORINE INTERNATIONAL L,3068.2,2,INE048G01026,3979,2876.45,4922,9,NAVINFLUOR
975913,NAVIN1,DR,10.40%NFL-13 NOV 26-PVT,114000,1,975913,1040NFL26A,10.40%NFL-13 NOV 26-PVT,76000,100000,INE342T07510,0,0,0,0,1040NFL26A
519200,NAVIND,C,NAVCOM INDUSTRIES,3.2,1,519200,,NAVCOM INDUSTRIES,2.9,10,,3.05,3.05,62.5,0.8,
539525,NAVMER,C,NAVKETAN MERCHANTS LIMITED,1.09,1,539525,NAVKETAN,NAVKETAN MERCHANTS LIMITED,0.99,10,INE365G01016,3.46,0.52,13.24,0.19,NAVKETAN
938638,NAVN10,DR,NAVI FINSERV LIMITED 18JN25,1182.01,1,938638,975NFL25,NAVI FINSERV LIMITED 18JN25,788.01,1000,INE342T07411,1007,826,1007,826,975NFL25
938640,NAVN11,DR,NAVI FINSERV LTD 10.25 18OT25,1196.06,1,938640,1025NFL25,NAVI FINSERV LTD 10.25 18OT25,797.38,1000,INE342T07379,1010,831,1010,831,1025NFL25
938642,NAVN12,DR,NAVI FINSERV LTD 10.75 18OT25,1152.24,1,938642,1075NFL25,NAVI FINSERV LTD 10.75 18OT25,768.16,1000,INE342T07395,1071.05,960.1,1071.05,960.1,1075NFL25
938644,NAVN13,DR,NAVI FINSERV LTD 10.50 18JL26,1167.85,1,938644,1050NFL26,NAVI FINSERV LTD 10.50 18JL26,778.57,1000,INE342T07387,1038,870.01,1038,870.01,1050NFL26
938646,NAVN14,DR,NAVI FINSERV LTD 11.02 18JL26,1183.2,1,938646,1102NFL26,NAVI FINSERV LTD 11.02 18JL26,788.8,1000,INE342T07403,1100,951,1100,951,1102NFL26
939329,NAVN17,DR,10% NAVI FINSERV LTD SEPT 25,1191.6,1,939329,10NFL25,10% NAVI FINSERV LTD SEPT 25,794.4,1000,INE342T07478,0,0,0,0,10NFL25
939331,NAVN18,DR,10.4% NAVI FINSERV LTD JUN 26,1189.2,1,939331,1040NFL26,10.4% NAVI FINSERV LTD JUN 26,792.8,1000,INE342T07437,0,0,0,0,1040NFL26
939333,NAVN19,DR,10.9% NAVI FINSERV LTD JUN 26,1239.56,1,939333,1090NFL26,10.9% NAVI FINSERV LTD JUN 26,826.38,1000,INE342T07452,0,0,0,0,1090NFL26
939335,NAVN20,DR,10.65% NAVI FINSERV LTD MAR 27,1188,1,939335,1065NFL27,10.65% NAVI FINSERV LTD MAR 27,792,1000,INE342T07460,0,0,0,0,1065NFL27
939337,NAVN21,DR,11.19% NAVI FINSERV LTD MAR 27,1226.4,1,939337,1119NFL27,11.19% NAVI FINSERV LTD MAR 27,817.6,1000,INE342T07445,0,0,0,0,1119NFL27
975746,NAVN22,DR,10.5% NAVI FINSERV LTD JUN 27,120000,1,975746,1050NFL27,10.5% NAVI FINSERV LTD JUN 27,80000,100000,INE342T07494,0,0,0,0,1050NFL27
973598,NAVND1,DR,NAVI FINSERV PRIVATE 24MY23,1332000,1,973598,NFL241121,NAVI FINSERV PRIVATE 24MY23,888000,1000000,INE342T07098,0,0,0,0,NFL241121
938057,NAVND3,DR,9.2% Navi Finserv Ltd. Dec 23,1198.8,1,938057,920NFL23,9.2% Navi Finserv Ltd. Dec 23,799.2,1000,INE342T07189,1005,842.2,1005,842.2,920NFL23
938059,NAVND4,DR,9.5% Navi Finserv Ltd. Dec 23,1225.2,1,938059,950NFL23,9.5% Navi Finserv Ltd. Dec 23,816.8,1000,INE342T07197,1153.5,990,1153.5,986.14,950NFL23
938061,NAVND5,DR,9.4% Navi Finserv Ltd. Sep 24,1198.68,1,938061,94NFL24,9.4% Navi Finserv Ltd. Sep 24,799.12,1000,INE342T07205,1047,951,1047,951,94NFL24
938063,NAVND6,DR,9.75% Navi Finserv Ltd. Sep 24,1264.56,1,938063,975NFL24,9.75% Navi Finserv Ltd. Sep 24,843.04,1000,INE342T07213,1063.5,925.8,1075.2,925.8,975NFL24
974251,NAVND7,DR,NAVI FINSERV LIMITED 27MR24,1200000,1,974251,NFLGSEC24C,NAVI FINSERV LIMITED 27MR24,800000,1000000,INE342T07262,0,0,0,0,NFLGSEC24C
973526,NAVND8,DR,NAVI FINSERV LIMITED 30SP23,1198680,1,973526,915NFL23,NAVI FINSERV LIMITED 30SP23,799120,1000000,INE342T07080,0,0,0,0,915NFL23
543987,NAVNIF,DR,NAVI NIFTY 50 ETF,296.26,1,543987,NAVINIFTY,NAVI NIFTY 50 ETF,197.51,10,INF959L01HI3,312.45,188.6,312.45,188.6,NAVINIFTY
532014,NAVTEC,DR,NAVAL TECHNOPLAST IN,21.4,1,532014,,NAVAL TECHNOPLAST IN,19.4,10,,20.4,20.4,20.4,20.4,
516044,NAYPAP,DR,NAYAGARA PAPER PRODU,2.15,1,516044,,NAYAGARA PAPER PRODU,1.95,10,,11.6,1.2,35,1.2,
